gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
2957843574,Alcyoniidae,Alcyonium digitatum,-4.904545,55.74968,2016,United Kingdom,Seasearch,Accepted - considered correct
2957845374,Alcyoniidae,Alcyonium digitatum,-2.147696,50.59369,2016,United Kingdom,Seasearch,Accepted - considered correct
2957853385,Alcyoniidae,Alcyonium digitatum,-2.946883,59.02927,2016,United Kingdom,Seasearch,Accepted - considered correct
2957870630,Alcyoniidae,Alcyonium digitatum,-1.522165,50.66362,2016,United Kingdom,Seasearch,Accepted - considered correct
2957890457,Alcyoniidae,Alcyonium digitatum,-6.353703,49.88669,2016,United Kingdom,Seasearch,Accepted - considered correct
2957901070,Alcyoniidae,Alcyonium digitatum,-3.515176,50.34302,2016,United Kingdom,Seasearch,Accepted - considered correct
3019138464,Alcyoniidae,Alcyonium digitatum,-2.14222,46.53861,2016,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019366879,Alcyoniidae,Alcyonium digitatum,-4.1812,47.76235,2016,France,BioObs,"Probable, high degree of reliability"
3019391126,Alcyoniidae,Alcyonium digitatum,-3.00403,47.40772,2016,France,BioObs,"Probable, high degree of reliability"
2406130747,Alcyoniidae,Alcyonium digitatum,8.13915,58.106684,2016,Norway,nef,NA
2816229046,Alcyoniidae,Alcyonium digitatum,-4.765237,54.08506,2016,United Kingdom,Seasearch,Accepted - considered correct
2918897301,Alcyoniidae,Alcyonium digitatum,-1.291594,54.84496,2016,United Kingdom,TWT,Accepted
2918897314,Alcyoniidae,Alcyonium digitatum,-1.322292,54.88671,2016,United Kingdom,TWT,Accepted
2918898007,Alcyoniidae,Alcyonium digitatum,-1.297135,54.84736,2016,United Kingdom,TWT,Accepted
2918898205,Alcyoniidae,Alcyonium digitatum,-1.315097,54.84029,2016,United Kingdom,TWT,Accepted
2918898240,Alcyoniidae,Alcyonium digitatum,-1.330147,54.86903,2016,United Kingdom,TWT,Accepted
