species,lon,lat
Eunicella verrucosa,-1.8687299999999987,48.874249996596724
Eunicella verrucosa,-1.3584999999999972,46.23549999576623
Eunicella verrucosa,-1.7714699999999963,49.702469996822686
Eunicella verrucosa,-4.671390000000001,48.24666999641456
Eunicella verrucosa,-4.420330000000001,48.3109999964337
Eunicella verrucosa,-4.368439999999999,47.79054999627621
Eunicella verrucosa,-4.438330000000001,48.21166999640418
Eunicella verrucosa,-5.122220000000004,48.440559996471876
Eunicella verrucosa,-3.888609999999998,48.67721999654062
Eunicella verrucosa,-2.714780000000001,48.63976999652983
Eunicella verrucosa,-2.6236700000000006,47.408459996156374
Eunicella verrucosa,-1.872500000000006,48.87287999659633
Eunicella verrucosa,-3.921390000000001,48.71082999655018
Eunicella verrucosa,-4.012660000000003,47.693189996246055
Eunicella verrucosa,-1.865069999999997,48.87232999659621
Eunicella verrucosa,-4.516670000000004,48.33332999644033
Eunicella verrucosa,-1.8039700000000007,48.86394999659384
Eunicella verrucosa,-3.699999999999999,48.74999999656148
Eunicella verrucosa,-2.719999999999998,48.63077999652722
Eunicella verrucosa,-4.422079999999997,48.15429999638696
Eunicella verrucosa,-3.5204499999999985,47.65097999623284
Eunicella verrucosa,-4.575,48.298249996429966
Eunicella verrucosa,-2.618689999999993,47.40984999615681
Eunicella verrucosa,-4.456159999999998,48.3589299964479
Eunicella verrucosa,-3.027129999999993,47.41161999615741
Eunicella verrucosa,-2.994509999999998,47.39587999615243
Eunicella verrucosa,-3.612590000000004,48.789479996572744
Eunicella verrucosa,-4.181199999999997,47.762349996267496
Eunicella verrucosa,-3.21033,47.65538999623425
Eunicella verrucosa,-1.7531199999999951,48.874139996596696
Eunicella verrucosa,-2.638269999999999,47.30479999612332
Eunicella verrucosa,-4.480579999999996,48.32937999643918
Eunicella verrucosa,-4.386979999999998,47.782309996273625
Eunicella verrucosa,-1.7888899999999939,48.86721999659473
Eunicella verrucosa,-4.363330000000007,47.77638999627184
